Family,Members
Amonte,Tony (1989–91) and sons Ty (2017–22) and Tristan (2021–25)
Coyle,Charlie (2010–12) and uncle Tony Amonte (1989–91)
Eruzione,Mike (1973–77) and son Mike Jr. (2004–05)
Krys,Mark (1987–91) and son Chad (2016–19)
Lachance, Shane (2023–25) and father Bob (1992–96) and uncle Scott (1990–91) and maternal grandfather Jack Parker (1965–68)
Moran,Mike (2012–16) nephew of Mike Bavis (1989–93)
O'Regan,Tom (1979–83) and son Danny (2012–16)
Ronan,Matt (2010–14) and Dan (1995–99) and uncle Ed (1987–91)
Ryan,Tom (1984–88) and son T.J. (2013–15)
Shaunessy,Scott (1983–87) and daughter Julia (2020–25)
Tkachuk,Keith (1990–91) and son Brady (2017–18)