name,Career,Destination
Walter Walworth,1942–43,Brown
Pat McMahon,1976–77,Western Michigan
Bruce Milton,1980–82,Boston College
John Tiano,1983–84,RPI
Steve Crozier,1983–84,Brown
Chris Lappin,1987–89,St. Lawrence
Michael Lappin,1987–89,St. Lawrence
Jon Jacques,1991–92,Massachusetts
Brendan Walsh,1995–97,Maine
Russ Bartlett,1997–99,St. Lawrence
Adam Dunlap,2003–04,Michigan
Pat Percella,2004–05,Bentley
Brett Bennett,2006–08,Wisconsin
Vinny Saponari,2008–10,Northeastern
Alexx Privitera,2011–13,Vermont
Sam Kurker,2012–14,Northeastern
Dalton MacAfee,2013–14,Army
Robbie Baillargeon,2013–16,Arizona State
Brendan Collier,2013–14,Northeastern
Kevin Duane,2013–15,Quinnipiac
Brandon Fortunato,2014–16,Quinnipiac
Connor LaCouvee,2014–17,Minnesota State
Shane Switzer,2015–19,Michigan
Oskar Andrén,2015–17,Ferris State
Max Prawdzik,2016–19,Arizona State
Kasper Kotkansalo,2017–20,Michigan
Ty Amonte,2017–22,Connecticut
Hank Crone,2017–18,Denver
Jake Witkowski,2017–21,Canisius
Hugo Blixt,2018–20,Colorado College
Mark Cheremeta,2018–19,Ohio State
Jack DeBoer,2018–21,Niagara
Matthew Quercia,2018–21,Michigan Tech
Jake Wise,2018–21,Ohio State
Vinnie Purpura,2018–20,Long Island
Jamie Armstrong,2019–23,Boston College
Markus Boguslavsky,2019–22,Canisius
Robert Mastrosimone,2019–22,Arizona State
Ethan Phillips,2019–23,Western Michigan
Dominic Vidoli,2018–19,Ohio State
Thomas Jarman,2020–24,Lindenwood
Vinny Duplessis,2020–23,Quinnipiac
Braden Doyle,2021–22,Northeastern
Ty Gallagher,2021–24,Colorado College
Brian Carrabes,2021–23,Minnesota State
Lachlan Getz,2022–23,Michigan Tech
Jeremy Wilmer,2022–24,Quinnipiac
Doug Grimes,2023–25,Miami
Alexander Zetterberg,2024–25,Minnesota State
Henry Graham,2023–24,Lindenwood