NHLer #,Name,First Game,Team,Opponent
1,John Aiken,3/13/58,MTL,BOS
2,Paul O'Neil,12/11/73,VAN,MTL
3,Bob Gryp,4/7/74,BOS,TOR
4,Ron Anderson,10/9/74,WSH,NYR
5,Mike Fidler,11/1/76,CLE,TOR
6,Ken Kuzyk,12/15/76,CLE,DET
7,Dick Lamby,10/11/78,STL,DET
8,Rick Meagher,10/17/79,MTL,CHI
9,John Bethel,1/25/80,WIN,PHI
10,Jim Craig,3/1/80,AFM,CLR
11,Dave Silk,3/5/80,NYR,BUF
12,Bill Whelton,3/27/81,WIN,VAN
13,Paul Miller,11/20/81,CLR,BUF
14,Jack O'Callahan,10/10/82,CHI,WIN
15,Tom O'Regan,12/11/83,PIT,MTL
16,Cleon Daskalakis,10/14/84,BOS,HAR
17,Paul Fenton,12/3/84,HFD,MTL
18,Dale Dunbar,1/18/86,VAN,LAK
19,Scott Shaunessy,3/26/87,QUE,PHI
20,Jim Ennis,10/9/87,EDM,DET
21,Scott Young,3/2/88,HFD,CHI
22,John Cullen,10/7/88,PIT,WSH
23,Clark Donatelli,10/5/89,MNS,NYI
24,Joe Sacco,11/10/90,TOR,CHI
25,Tony Amonte,4/11/91,NYR,WSH
26,Peter Ahola,10/4/91,LAK,WIN
27,Mike Sullivan,10/29/91,SJS,NYI
28,Dave Tomlinson,12/12/91,TOR,PHI
29,Ed Ronan,1/23/92,MTL,BOS
30,Keith Tkachuk,2/28/92,WIN,VAN
31,Scott Lachance,3/3/92,NYI,MTL
32,Shawn McEachern,3/3/92,PIT,CGY
33,David Sacco,3/4/94,TOR,DET
34,John Lilley,3/16/94,ANA,LAK
35,Adrian Aucoin,5/3/95,VAN,SJS
36,Phil Von Stefenelli,10/26/95,BOS,WSH
37,Mike Grier,10/4/96,EDM,BUF
38,Chris O'Sullivan,10/5/96,CGY,VAN
39,Jay Pandolfo,11/14/96,NJD,VAN
40,Nick Vachon,12/17/96,NYI,LAK
41,Rich Brennan,1/6/97,COL,NYR
42,Shawn Bates,10/2/97,BOS,LAK
43,Doug Friedman,11/25/97,EDM,CHI
44,Chris Drury,10/10/98,COL,OTT
45,Tom Poti,10/10/98,EDM,LAK
46,Dan LaCouture,2/24/99,EDM,ANA
47,Michel Larocque,1/25/01,CHI,PHI
48,Rick DiPietro,1/27/01,NYI,BUF
49,Chris Kelleher,3/16/02,BOS,DET
50,Joe DiPenta,4/2/03,ATL,BUF
51,Carl Corazzini,1/15/04,BOS,BUF
52,Freddy Meyer,3/6/04,PHI,WSH
53,Mike Pandolfo,3/26/04,CBJ,ANA
54,Ryan Whitney,11/1/05,PIT,NJD
55,Chris Bourque,11/6/07,WSH,ATL
56,John Curry,11/26/08,PIT,NYI
57,David Van der Gulik,2/27/09,CGY,MIN
58,Matt Gilroy,10/2/09,NYR,PIT
59,Colin Wilson,10/12/09,NSH,EDM
60,Brandon Yip,12/19/09,COL,CBJ
61,John McCarthy,1/9/10,SJS,DET
62,Nick Bonino,3/26/10,ANA,EDM
63,Kevin Shattenkirk,11/4/10,COL,VAN
64,Colby Cohen,11/6/10,COL,DAL
65,Brian Strait,2/21/11,PIT,WSH
66,Charlie Coyle,2/4/13,MIN,PHX
67,Eric Gryba,2/16/13,OTT,TOR
68,Alex Chiasson,4/3/13,DAL,ANA
69,Matt Nieto,10/3/13,SJS,VAN
70,David Warsofsky,12/19/13,BOS,BUF
71,Adam Clendening,11/20/14,CHI,CGY
72,Jack Eichel,10/8/15,BUF,OTT
73,Matt O'Connor,10/11/15,OTT,MTL
74,Evan Rodrigues,4/8/16,BUF,CBJ
75,A.J. Greer,11/13/16,COL,BOS
76,Danny O'Regan,11/21/16,SJS,NJD
77,Matt Grzelcyk,12/14/16,BOS,PIT
78,Wade Megan,12/22/16,STL,TBL 
79,Clayton Keller,3/27/17,ARI,STL
80,Jakob Forsbacka Karlsson,4/8/17,BOS,WSH
81,Charlie McAvoy,4/12/17,BOS,OTT
82,Jordan Greenway,3/27/18,MIN,NSH
83,Brady Tkachuk,10/8/18,OTT,BOS
84,Dante Fabbro,3/30/19,NSH,CBJ
85,Joel Farabee,10/21/19,PHI,VGK
86,Kieffer Bellows,2/4/20,NYI,DAL
87,Jake Oettinger,9/8/20,DAL,VGK
88,Trevor Zegras,2/22/21,ANA,ARI
89,David Farrance,4/8/21,NSH,DET
90,Max Willman,10/15/21,PHI,VAN
91,Alex Vlasic,3/19/22,CHI,MIN
92,Shane Bowers,11/10/22,COL,NSH
93,Cam Crotty,3/24/24,ARI,DAL
94,Lane Hutson,4/15/24,MTL,DET
95,Macklin Celebrini,10/10/24,SJS,STL
96,Drew Commesso,12/12/24,CHI,NYI
97,Quinn Hutson,4/14/25,EDM,LAK
98,Ryan Greene,4/14/25,CHI,MTL
99,Domenick Fensore,4/16/25,CAR,MTL
100,Devin Kaplan,4/17/25,PHI,BUF
101,Tom Willander,10/28/25,VAN,NYR
102,Shane Lachance,11/15/25,NJD,WSH