Season,Name,Team
1990–91,Scott Young,Pittsburgh Penguins
1991–92,Shawn McEachern,Pittsburgh Penguins
1992–93,Ed Ronan,Montreal Canadiens
1995–96,Scott Young,Colorado Avalanche
1999–00,Jay Pandolfo,New Jersey Devils
2000–01,Chris Drury,Colorado Avalanche
2002–03,Jay Pandolfo,New Jersey Devils
2006–07,Joe DiPenta,Anaheim Ducks
2015–16,Nick Bonino,Pittsburgh Penguins
2015–16,Mike Sullivan (Head Coach),Pittsburgh Penguins
2016–17,Nick Bonino,Pittsburgh Penguins
2016–17,Mike Sullivan (Head Coach),Pittsburgh Penguins
2017–18,Alex Chiasson,Washington Capitals
2019–20,Kevin Shattenkirk,Tampa Bay Lightning
2022–23,Jack Eichel,Vegas Golden Knights
2023–24,Evan Rodrigues,Florida Panthers
2024–25,Evan Rodrigues,Florida Panthers
2025–25,A.J. Greer,Florida Panthers